Team Name,Team ID,Active
02 Ardeont,o2-ardeont,TRUE
123,123,FALSE
1246,1246,FALSE
Afreeca Freecs,afreeca-freecs,FALSE
ahq e-Sports Club,ahq-e-sports-club,TRUE
Alter Ego,alter-ego,TRUE
Angry Titans,angry-titans,TRUE
Anox,anox,FALSE
ARC 6,arc-6,FALSE
Ardeont,ardeont,TRUE
Bazooka Puppiez,bazooka-puppiez,TRUE
Black Dragons,black-dragons,TRUE
Blank Blue,blank-blue,TRUE
Blank Esports,blank-esports,TRUE
Blossom,blossom,TRUE
Boston Uprising,boston-uprising,TRUE
Brasil Gaming House,brasil-gaming-house,TRUE
British Hurricane,british-hurricane,TRUE
Caverna E-Sports,caverna-e-sports,TRUE
CIS hope,cis-hope,TRUE
Cloud9,cloud9,FALSE
Cloud9 KongDoo,cloud9-kongdoo,FALSE
CompLexity Gaming,complexity-gaming,FALSE
CONBOX,conbox,FALSE
Copenhagen Flames,copenhagen-flames,TRUE
Counter Logic Gaming,counter-logic-gaming,FALSE
Dallas Fuel,dallas-fuel,TRUE
Darksided,darksided,TRUE
Dignitas,dignitas,FALSE
Dogma Esports,dogma,TRUE
Dose,dose,TRUE
Eagle Gaming,eagle-gaming,TRUE
Element Mystic,element-mystic,TRUE
ENCE eSports,ence-esports,TRUE
Encore Esports,encore-esports,TRUE
EnVision eSports,envision,TRUE
EnVyUs,envyus,FALSE
eUnited,eunited,FALSE
Evil Geniuses,evil-geniuses,FALSE
FaZe,faze,TRUE
Flash Lux,flash-lux,FALSE
Flash Wolves,flash-wolves,TRUE
Florida Mayhem,florida-mayhem,TRUE
Fnatic,fnatic,FALSE
FNRGFE,fnrgfe,FALSE
Foxes,rx-foxes,TRUE
FTD Club,ftd-club,FALSE
Fusion University,fusion-university,TRUE
GamersOrigin,gamersorigin,FALSE
GC Busan,gc-busan,TRUE
Gladiators Legion,gladiators-legion,TRUE
Grizzlys,grizzlys,TRUE
Hong Kong Attitude,hong-kong-attitude,TRUE
Houston Outlaws,houston-outlaws,TRUE
Immortals,immortals,FALSE
Isurus Gaming,isurus-gaming,TRUE
Jigsaw,jigsaw,TRUE
Just W,just-w,TRUE
Kanga Esports,kanga-esports,TRUE
KongDoo Panthera,kongdoo-panthera,TRUE
KongDoo Uncia,kongdoo-uncia,FALSE
Kungarna,kungarna,TRUE
